locationName,color,locUUID,rainfall,recharge.total.poor_quality,recharge.total.total,recharge.total.non_command,recharge.total.command,loss,draft.total.total,draft.total.non_command,currAvailabilityForAllPurposes,stage,category.total,category.non_command,area.total.commandArea,area.total.nonCommandArea,area.total.poorQualityArea,area.total.hillyArea,area.total.forestArea,area.total.totalArea,area.total.pavedArea,area.total.unpavedArea,locationUUID,rechargeData.total.poor_quality,rechargeData.total.total,rechargeData.total.non_command,rechargeData.total.command,draftData.total.total,draftData.total.non_command,currentAvailabilityForAllPurposes,stageOfExtraction,category.poor_quality,category.command,draft.total.command,draftData.total.command,draft.total.poor_quality,draftData.total.poor_quality
Akuluto,,9386cdda-774c-4f87-acb7-c5fdb700f9e3,2080.4,0.0,593.6800000000001,593.6800000000001,0.0,,7.779999999999999,7.779999999999999,,,safe,safe,0.0,2703.28,0.0,0.0,0.0,26974.0,0.0,0.0,9386cdda-774c-4f87-acb7-c5fdb700f9e3,0.0,593.6800000000001,593.6800000000001,0.0,7.779999999999999,7.779999999999999,,,,,,,,
Pungro,,4365d31a-610e-4da8-87ab-5f9735861c64,1074.1,0.0,137.12,137.12,0.0,,0.4,0.4,,,safe,safe,0.0,1371.78,0.0,0.0,0.0,56500.0,0.0,0.0,4365d31a-610e-4da8-87ab-5f9735861c64,0.0,137.12,137.12,0.0,0.4,0.4,,,,,,,,
Kubulong,,1e777a79-71c5-472f-ad07-87d396609aa2,2080.4,0.0,491.94,491.94,0.0,,0.09,0.09,,,safe,safe,0.0,4346.94,0.0,0.0,0.0,12773.0,0.0,0.0,1e777a79-71c5-472f-ad07-87d396609aa2,0.0,491.94,491.94,0.0,0.09,0.09,,,,,,,,
Longkhim,,f164acfb-9674-4a54-9221-0e941f0632ea,2079.5,0.0,76.61,76.61,0.0,,4.08,4.08,,,safe,safe,0.0,613.67,0.0,0.0,0.0,14989.0,0.0,0.0,f164acfb-9674-4a54-9221-0e941f0632ea,0.0,76.61,76.61,0.0,4.08,4.08,,,,,,,,
Tening,,c0ac3041-30c0-4260-b84f-84dcafb58065,1394.1999999999998,0.0,1063.5,1063.5,0.0,,22.29,22.29,,,safe,safe,0.0,15398.61,0.0,0.0,0.0,52166.0,0.0,0.0,c0ac3041-30c0-4260-b84f-84dcafb58065,0.0,1063.5,1063.5,0.0,22.29,22.29,,,,,,,,
Noklak,,3c82e62c-93e6-4977-845a-027a86e528dc,2079.5,0.0,324.52,324.52,0.0,,7.710000000000001,7.710000000000001,,,safe,safe,0.0,2036.64,0.0,0.0,0.0,57107.0,0.0,0.0,3c82e62c-93e6-4977-845a-027a86e528dc,0.0,324.52,324.52,0.0,7.710000000000001,7.710000000000001,,,,,,,,
Wozhuru Ralan,,e49d68e6-c7cb-4637-aa05-ca666a549090,2166.76,0.0,1178.0900000000001,1178.0900000000001,0.0,,29.88,29.88,,,safe,safe,0.0,10045.94,0.0,0.0,0.0,27268.0,0.0,0.0,e49d68e6-c7cb-4637-aa05-ca666a549090,0.0,1178.0900000000001,1178.0900000000001,0.0,29.88,29.88,,,,,,,,
Tizit,,afd28f41-0c02-4c35-8dc3-b7f1363e4ac0,1469.1,0.0,774.11,774.11,0.0,,47.42,47.42,,,safe,safe,0.0,10367.56,0.0,0.0,0.0,23861.0,0.0,0.0,afd28f41-0c02-4c35-8dc3-b7f1363e4ac0,0.0,774.11,774.11,0.0,47.42,47.42,,,,,,,,
Peren,,e03c76c6-7e11-49a4-9c3a-7311ee9ba601,1394.2,0.0,952.21,952.21,0.0,,15.03,15.03,,,safe,safe,0.0,14102.3,0.0,0.0,0.0,47063.0,0.0,0.0,e03c76c6-7e11-49a4-9c3a-7311ee9ba601,0.0,952.21,952.21,0.0,15.03,15.03,,,,,,,,
Longleng,,7bb8238a-afe1-4973-ad3d-ddf4f3cabe05,1879.5,0.0,919.94,919.94,0.0,,4.51,4.51,,,safe,safe,0.0,7344.54,0.0,0.0,0.0,34503.56,0.0,0.0,7bb8238a-afe1-4973-ad3d-ddf4f3cabe05,0.0,919.94,919.94,0.0,4.51,4.51,,,,,,,,
Zunheboto,,7dbc3c74-a1d6-4f2a-8924-4b984d459fc4,2080.4,0.0,239.2,239.2,0.0,,21.060000000000002,21.060000000000002,,,safe,safe,0.0,616.09,0.0,0.0,0.0,9662.0,0.0,0.0,7dbc3c74-a1d6-4f2a-8924-4b984d459fc4,0.0,239.2,239.2,0.0,21.060000000000002,21.060000000000002,,,,,,,,
Tokiye,,fa52b055-9b1b-4187-892d-53df4b7b050b,2080.4,0.0,252.89000000000001,252.89000000000001,0.0,,9.47,9.47,,,safe,safe,0.0,905.94,0.0,0.0,0.0,14966.0,0.0,0.0,fa52b055-9b1b-4187-892d-53df4b7b050b,0.0,252.89000000000001,252.89000000000001,0.0,9.47,9.47,,,,,,,,
Simiti,,2db710e3-7161-449e-98c0-54aaa5c32d35,1074.1,0.0,344.36,344.36,0.0,,2.96,2.96,,,safe,safe,0.0,1160.81,0.0,0.0,0.0,31080.0,0.0,0.0,2db710e3-7161-449e-98c0-54aaa5c32d35,0.0,344.36,344.36,0.0,2.96,2.96,,,,,,,,
Chukitong,,893468e4-4b6e-49ad-9dc4-8423cf47b505,2166.76,0.0,683.81,683.81,0.0,,3.87,3.87,,,safe,safe,0.0,4922.78,0.0,0.0,0.0,14534.0,0.0,0.0,893468e4-4b6e-49ad-9dc4-8423cf47b505,0.0,683.81,683.81,0.0,3.87,3.87,,,,,,,,
Phek,,9277467d-c521-40b5-8007-3561a1103c6d,1295.1,0.0,162.48999999999998,162.48999999999998,0.0,,5.37,5.37,,,safe,safe,0.0,1076.97,0.0,0.0,0.0,40088.02,0.0,0.0,9277467d-c521-40b5-8007-3561a1103c6d,0.0,162.48999999999998,162.48999999999998,0.0,5.37,5.37,,,,,,,,
Mon,,eb0665d2-f71a-48c4-b2c7-01f54c157e1b,1469.1,0.0,771.54,771.54,0.0,,29.71,29.71,,,safe,safe,0.0,10324.52,0.0,0.0,0.0,25278.0,0.0,0.0,eb0665d2-f71a-48c4-b2c7-01f54c157e1b,0.0,771.54,771.54,0.0,29.71,29.71,,,,,,,,
Ongpangkong South,,01dc8066-818b-4fdc-a66e-786bb40ccfc7,2080.4,0.0,899.44,899.44,0.0,,16.88,16.88,,,safe,safe,0.0,7946.47,0.0,0.0,0.0,22954.0,0.0,0.0,01dc8066-818b-4fdc-a66e-786bb40ccfc7,0.0,899.44,899.44,0.0,16.88,16.88,,,,,,,,
Meluri,,76cc7690-c13b-471c-8bf4-3a1f34f1c70a,1295.1,0.0,417.8,417.8,0.0,,14.21,14.21,,,safe,safe,0.0,5285.34,0.0,0.0,0.0,97649.74,0.0,0.0,76cc7690-c13b-471c-8bf4-3a1f34f1c70a,0.0,417.8,417.8,0.0,14.21,14.21,,,,,,,,
Sangsangnyu,,9821c5be-53b7-49c7-a1d7-3d8400b4b107,2079.5,0.0,290.34000000000003,290.34000000000003,0.0,,9.74,9.74,,,safe,safe,0.0,1483.26,0.0,0.0,0.0,35307.0,0.0,0.0,9821c5be-53b7-49c7-a1d7-3d8400b4b107,0.0,290.34000000000003,290.34000000000003,0.0,9.74,9.74,,,,,,,,
Sekruzu,,bf5b7e10-6fbf-4562-8481-1e3be98d3e5f,1295.1,0.0,191.13,191.13,0.0,,4.55,4.55,,,safe,safe,0.0,2006.28,0.0,0.0,0.0,18197.28,0.0,0.0,bf5b7e10-6fbf-4562-8481-1e3be98d3e5f,0.0,191.13,191.13,0.0,4.55,4.55,,,,,,,,
Kohima,,0ef66ebf-9dfd-4eab-9a4b-2614b59d1887,1779.3000000000002,0.0,495.12,495.12,0.0,,127.29,127.29,,,safe,safe,0.0,3706.42,0.0,0.0,0.0,25655.0,0.0,0.0,0ef66ebf-9dfd-4eab-9a4b-2614b59d1887,0.0,495.12,495.12,0.0,127.29,127.29,,,,,,,,
Tobu,,71b3ce8f-f7fa-4724-b775-3b3279e5b87c,1469.1,0.0,379.33,379.33,0.0,,4.82,4.82,,,safe,safe,0.0,4699.61,0.0,0.0,0.0,31288.0,0.0,0.0,71b3ce8f-f7fa-4724-b775-3b3279e5b87c,0.0,379.33,379.33,0.0,4.82,4.82,,,,,,,,
Satakha,,426e7189-1b85-4f61-83bd-7bb8eefcad88,2080.4,0.0,365.74,365.74,0.0,,9.559999999999999,9.559999999999999,,,safe,safe,0.0,2093.25,0.0,0.0,0.0,38774.0,0.0,0.0,426e7189-1b85-4f61-83bd-7bb8eefcad88,0.0,365.74,365.74,0.0,9.559999999999999,9.559999999999999,,,,,,,,
